name,type,unit,orig_group,cat,cat_name,subcategory,subcategory_secondary,lifecycle,activation,validation,validation_note,severity,recommendation,behavior_risk,consumer,ctor_transfer_target,guard_chain,code_transforms,src_default,set_value,runtime,effective_value,effective_formula,derived_variable,dynamic_range,observed_baseline_range,effect,dependencies,evidence
InpBrokerGMTOffset,int,points,RISK MANAGEMENT,1,Instrument & Runtime Environment,Broker server time & DST,,Production,Active,Broker-derived,,P3,Keep,Low,CSessionEngine::DetectGMTOffset (CSessionEngine.mqh:352); CMarketContext (CMarketContext.mqh:1073); g_sessionBreakout.SetGMTOffset (UltimateTrader.mq5:1411); CFileEntry CSV-time conv,,"InpTesterDSTFix ? CTimeOffset per-timestamp (summer anchor = InpBrokerGMTOffset=+3, winter derives +2) : fixed InpBrokerGMTOffset fallback (CSessionEngine.mqh:352 / CMarketContext.mqh:1073)",,3,3,3,3,static (init-effective = runtime scalar),—,—,—,Vantage summer GMT offset (+3): anchors the session clock and CSV signal-time conversion; with the DST fix on it is the summer value the US-DST calendar keys off (winter drops to +2).,InpTesterDSTFix; InpNewsWinterGMTOffset (parallel winter const in the news path),none
InpTesterDSTFix,bool,bool,DST / TIMEZONE CORRECTION,1,Instrument & Runtime Environment,Broker server time & DST,Tester-vs-live,Production,Active,Evidence-backed-adopted,,P2,Keep,Medium,CSessionEngine (CSessionEngine.mqh:333/346); CMarketContext (CMarketContext.mqh:1059); CFileEntry (CFileEntry.mqh:94),,backtest/tester AND InpTesterDSTFix -> CTimeOffset US-DST per-timestamp offset (+2 winter / +3 summer) → else -> fixed InpBrokerGMTOffset=+3 summer fallback + EU-DST in CFileEntry (legacy frozen baseline) → LIVE path (TimeCurrent-TimeGMT) never affected by this flag,,true,true,true,true,static (init-effective = runtime scalar),—,—,—,"In the tester, resolves broker GMT per-timestamp on the US-DST calendar so every GMT-keyed session window (London/NY mult, session-engine phases, Asia validator) fires 1h earlier in US-winter; live path unchanged.",InpBrokerGMTOffset (summer anchor); CTimeOffset,"DST-1 adopted +$972, binding baseline (phase0-correctness DST-1 / phase0-gmt-dst-validation.md BUG-1/BUG-2; honest-backtest-baseline). Slice cat1 flags <ADOPTED-ARM(src!=.set)>."
InpAutoScalePoints,bool,bool,STOP LOSS & ATR,1,Instrument & Runtime Environment,Price precision & point scaling,,Production,Active,Engineering-default,,P3,Keep,Low,ComputePointScale() (UltimateTrader.mq5:239-248); CPositionCoordinator BE offset (CPositionCoordinator.mqh:2912/2914/3207/3209/3928/3930),,"InpAutoScalePoints ? g_pointScale = scale_price/2000 (floor 0.001, cap 10) : g_pointScale = 1.0 → then g_scaledMinSLPoints/MinTrailMovement/TrailMinProfit/TrailBEOffset/BOEntryBuffer = Inp* x g_pointScale","bid-scale, stack",true,true,true,true,"master toggle: when true, all *scaled* point inputs = raw × g_pointScale (price-anchored to InpScaleAnchorPrice)",g_pointScale gate (mq5:250-254),—,—,Scales all point-based distances by anchor_price/2000 so gold-tuned floors stay proportional across price levels/symbols.,InpScaleAnchorPrice; InpMinSLPoints; InpTrailBEOffset; InpTrailMinProfit; InpMinTrailMovement; InpBOEntryBuffer,none
InpScaleAnchorPrice,double,price,STOP LOSS & ATR,1,Instrument & Runtime Environment,Price precision & point scaling,,Production,Conditional,Evidence-backed-adopted,,P2,Keep,Medium,ComputePointScale() (UltimateTrader.mq5:236-238),,"InpScaleAnchorPrice > 0 ? scale_price = InpScaleAnchorPrice (fixed anchor) : scale_price = live BID (legacy first-tick, start-date-dependent)",,1282.43,(unpinned),1282.430000,1282.43 (unpinned -> compiled default),static (init-effective = runtime scalar),—,—,—,Pins the point-scaling anchor to the 2019.01 first-tick price so scaled floors are start-date-independent and a 2019-start backtest reproduces bit-identically.,InpAutoScalePoints (anchor only consumed when auto-scale on),TIER-1 (2026-07-09) fixed anchor; tester journal [AutoScale] Price 1282.43 | Scale 0.6412 | MinSL 513pts (in-source). Fixes $5.13 vs $17.28 floor divergence for 2019 vs 2026 starts.
InpMagicNumber,int,count/level,EXECUTION,1,Instrument & Runtime Environment,Symbol spec/broker profile,,Production,Active,Engineering-default,,P3,Keep,Low,g_trade.SetExpertMagicNumber (UltimateTrader.mq5:1673); orphan-adopt filter (UltimateTrader.mq5:3181); CStandardExitStrategy.mqh:286; CSmartTrailingStrategy.mqh:283,,executor stamps InpMagicNumber on every order → ownership filter: POSITION_MAGIC == InpMagicNumber && POSITION_SYMBOL == _Symbol,,999999,999999,999999,999999,static (init-effective = runtime scalar),—,—,—,"Tags and filters this EA's positions/orders for ownership across executor, exits, trailing, and orphan adoption.",,none
InpSymbolProfile,ENUM_SYMBOL_PROFILE,enum,SYMBOL PROFILE,1,Instrument & Runtime Environment,Symbol spec/broker profile,,Production,Active,Engineering-default,,P3,Keep,None,DetectSymbolProfile() (UltimateTrader.mq5:267-268),,InpSymbolProfile != SYMBOL_PROFILE_AUTO -> return InpSymbolProfile → else auto-detect from _Symbol (XAU/GOLD/USDJPY...) -> ApplySymbolProfile -> g_profile* flags,,SYMBOL_PROFILE_XAUUSD,0,SYMBOL_PROFILE_XAUUSD,SYMBOL_PROFILE_XAUUSD,static (init-effective = runtime scalar),—,—,—,Forces the XAUUSD symbol profile (overrides filters/params via g_profile* flags) rather than auto-detecting from the chart symbol.,drives g_profile* flags; g_profileShortRiskMultiplier; g_profileEnable* pattern gates,none
InpFileMaxSlippagePct,double,ratio/%,SIGNAL SOURCE,2,Data & Signal Ingestion,CSV signal ingestion,,Live-only,Live-only,Evidence-backed-adopted,per-symbol $ calibrated]/Safety-derived,P3,Keep,None,CTradeOrchestrator::ExecuteSignal (CTradeOrchestrator.mqh:287-304),,if(source==FILE && entryPrice>0 && InpFileMaxSlippagePct>0): reject fill if slip%>InpFileMaxSlippagePct (mqh:287-304),,0.2,0.2,0.200000,0.2% of CSV entry -> rejects drifted file fills; inert in backtest (no file signals),static (init-effective = runtime scalar),—,—,—,Rejects a file-signal fill whose executable price has drifted more than 0.2% from the CSV entry.,only fires for SIGNAL_SOURCE_FILE,none
InpFileSignalQuality,ENUM_SETUP_QUALITY,enum,SIGNAL SOURCE,2,Data & Signal Ingestion,CSV signal ingestion,,Live-only,Live-only,Engineering-default,,P3,Keep,None,CFileEntry::CheckForEntrySignal (CFileEntry.mqh:836-839),,signal.setupQuality=InpFileSignalQuality; qualityScore = A_PLUS?95:A?80:B_PLUS?65:50 (CFileEntry.mqh:836-839),,SETUP_A,3,SETUP_A,SETUP_A -> qualityScore 80,static (init-effective = runtime scalar),—,—,—,Fixed quality/score stamped on every CSV signal (they carry no self-scored quality).,affects ranking only when file leg active (live),none
InpFileSignalSkipConfirmation,bool,bool,SIGNAL SOURCE,2,Data & Signal Ingestion,CSV signal ingestion,,Live-only,Live-only,Engineering-default,,P3,Keep,None,CFileEntry::CheckForEntrySignal (CFileEntry.mqh:840),,signal.requiresConfirmation = !InpFileSignalSkipConfirmation (CFileEntry.mqh:840),,true,true,true,true -> requiresConfirmation=false -> immediate execution,static (init-effective = runtime scalar),—,—,—,Executes CSV signals immediately rather than routing through the confirmation pipeline; consistent with regime bypass.,pairs with InpFileSignalSkipRegime,none
InpFileSignalSkipRegime,bool,bool,SIGNAL SOURCE,2,Data & Signal Ingestion,CSV signal ingestion,,Live-only,Live-only,Engineering-default,,P3,Keep,None,CFileEntry::IsCompatibleWithRegime (CFileEntry.mqh:749),,return InpFileSignalSkipRegime (CFileEntry.mqh:749) -> true bypasses regime gate for external signals,,true,true,true,true (external signals bypass regime filtering),static (init-effective = runtime scalar),—,—,—,"Lets CSV signals trade regardless of regime, trusting the external provider.",CFileEntry only,none
InpSignalSource,ENUM_SIGNAL_SOURCE,enum,SIGNAL SOURCE,2,Data & Signal Ingestion,CSV signal ingestion,,Production,Active,Engineering-default,,P3,Keep,Low,UltimateTrader.mq5 register_patterns (mq5:1280-1281); file-entry construct (mq5:1400-1402); OnTick file loop (mq5:3254),,BOTH -> register_patterns=true (mq5:1280) AND new CFileEntry (mq5:1400); file loop gated by SIGNAL_SOURCE_BOTH|FILE (mq5:3254),,SIGNAL_SOURCE_BOTH,2,SIGNAL_SOURCE_BOTH,SIGNAL_SOURCE_BOTH (=2): pattern leg drives the backtest; file leg registered but inert (no telegram_signals.csv feed),static (init-effective = runtime scalar),—,—,—,Selects which signal legs run; BOTH keeps the pattern engines live and harmlessly wires the dormant file bridge.,enables the entire cat-2 file bridge,"VERIFIED-FINDING: cat-2 bridge live-only, inert in backtest"
InpFileCSVRiskMax,double,ratio/%,SIGNAL SOURCE,2,Data & Signal Ingestion,External risk/lot instructions,,Deprecated,Gated-off,Rejected,legacy,P3,Deprecate,None,UltimateTrader.mq5 CSV-risk branch (mq5:3280),,reached only if InpFileLotMode==FILE_LOT_CSV_RISK (mq5:3277) — not the default,clamp,1.2,1.2,1.200000,1.2 (INERT under default lot mode),static (init-effective = runtime scalar),—,—,—,Upper clamp on CSV-supplied risk%; dead under the default lot mode.,gated by InpFileLotMode==CSV_RISK,VERIFIED-FINDING: gated-off
InpFileCSVRiskMin,double,ratio/%,SIGNAL SOURCE,2,Data & Signal Ingestion,External risk/lot instructions,,Deprecated,Gated-off,Rejected,"legacy, self-labeled",P3,Deprecate,None,UltimateTrader.mq5 CSV-risk branch (mq5:3280),,reached only if InpFileLotMode==FILE_LOT_CSV_RISK (mq5:3277); default is FILE_LOT_RISK_PERCENT -> branch never taken,clamp,0.4,0.4,0.400000,0.4 (INERT under default RISK_PERCENT lot mode),static (init-effective = runtime scalar),—,—,—,Lower clamp on CSV-supplied risk%; dead because the CSV-risk lot mode is not selected.,gated by InpFileLotMode==CSV_RISK,VERIFIED-FINDING: gated-off behind non-default lot mode
